Threshold,Precision,Recall,F1,Accuracy,TP,FP,FN,TN
0.2,0.39846743142349644,0.40310077363139235,0.40077021138237534,0.8963333330345555,104,157,154,2585
0.3,0.45853658312908985,0.3643410838591431,0.40604702099710566,0.9083333330305556,94,111,164,2631
0.4,0.4690721625305559,0.3527131769274683,0.40265437549985217,0.9099999996966667,91,103,167,2639
0.5,0.5102040781618771,0.29069767329186946,0.370369906100257,0.914999999695,75,72,183,2670
0.6,0.5060240902888664,0.16279069704344692,0.24633394109152706,0.9143333330285556,42,41,216,2701
0.7,0.7142856632653098,0.038759689772249264,0.07352931358143862,0.9159999996946667,10,4,248,2738
